date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:11:12	12480/12480	---M-Z	200	added ('OK')	text/html	etag:%2230c0-66a54df6-15eca1f778b7b211;gz%22	https://lovepix.blog/inicio/	C:/Users/osami/Desktop/LOVE%20PIX%20INICIO/lovepix.blog/inicio/index.html	(from )
13:11:12	109/109	---M-Z	200	added ('OK')	text/plain	etag:%221003-1723133471;gz%22	https://lovepix.blog/robots.txt		(from )
13:11:12	88145/88145	---M--	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202019%2014:37:17%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	C:/Users/osami/Desktop/LOVE%20PIX%20INICIO/ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	(from https://lovepix.blog/inicio/)
13:11:13	1611/1611	---M-Z	200	added ('OK')	text/css	etag:%2264b-66a54a7e-4602140437b6d91e;gz%22	https://lovepix.blog/inicio/style.css	C:/Users/osami/Desktop/LOVE%20PIX%20INICIO/lovepix.blog/inicio/style.css	(from https://lovepix.blog/inicio/)
13:11:13	3914/3914	---M-Z	200	added ('OK')	application/x-javascript	etag:%22f4a-66a54a7e-e06e2d2da0c63780;gz%22	https://lovepix.blog/inicio/card.js	C:/Users/osami/Desktop/LOVE%20PIX%20INICIO/lovepix.blog/inicio/card.js	(from https://lovepix.blog/inicio/)
13:11:14	1151581/1151581	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Aug%202024%2016:11:13%20GMT	https://appsofc.online/modelopixi/dmt.png	C:/Users/osami/Desktop/LOVE%20PIX%20INICIO/appsofc.online/modelopixi/dmt.png	(from https://lovepix.blog/inicio/)
13:11:14	1101/1101	---M-Z	200	added ('OK')	application/x-javascript	etag:%2244d-66a54a7e-11366bab6ec2c354;gz%22	https://lovepix.blog/inicio/script.js	C:/Users/osami/Desktop/LOVE%20PIX%20INICIO/lovepix.blog/inicio/script.js	(from https://lovepix.blog/inicio/)
13:11:14	399/399	---MCZ	200	added ('OK')	application/javascript	etag:%2218f-B+zGUTbQ1uVsG8y1uf+53Qdwne0%22	https://unpkg.com/ionicons@5.5.2/dist/ionicons/ionicons.esm.js	C:/Users/osami/Desktop/LOVE%20PIX%20INICIO/unpkg.com/ionicons@5.5.2/dist/ionicons/ionicons.esm.js	(from https://lovepix.blog/inicio/)
13:11:15	119513/119513	---MCZ	200	added ('OK')	application/javascript	etag:W/%221d2d9-GfzwmKFRyI8c779QM/TeRXFTXj0%22	https://unpkg.com/ionicons@5.5.2/dist/ionicons/ionicons.js	C:/Users/osami/Desktop/LOVE%20PIX%20INICIO/unpkg.com/ionicons@5.5.2/dist/ionicons/ionicons.js	(from https://lovepix.blog/inicio/)
13:11:15	1836786/1836786	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Aug%202024%2016:11:15%20GMT	https://appsofc.online/modelopixi/002.png	C:/Users/osami/Desktop/LOVE%20PIX%20INICIO/appsofc.online/modelopixi/002.png	(from https://lovepix.blog/inicio/script.js)
13:11:16	1132267/1132267	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Aug%202024%2016:11:16%20GMT	https://appsofc.online/modelopixi/003.png	C:/Users/osami/Desktop/LOVE%20PIX%20INICIO/appsofc.online/modelopixi/003.png	(from https://lovepix.blog/inicio/script.js)
13:11:16	1217113/1217113	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Aug%202024%2016:11:16%20GMT	https://appsofc.online/modelopixi/004.png	C:/Users/osami/Desktop/LOVE%20PIX%20INICIO/appsofc.online/modelopixi/004.png	(from https://lovepix.blog/inicio/script.js)
13:11:17	976071/976071	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Aug%202024%2016:11:16%20GMT	https://appsofc.online/modelopixi/005.png	C:/Users/osami/Desktop/LOVE%20PIX%20INICIO/appsofc.online/modelopixi/005.png	(from https://lovepix.blog/inicio/script.js)
